,TSS Code,Source Site,Country,State,Region
214,YG,University of Puerto Rico,USA,PR,South
215,YL,PROCURE Biobank,Canada,Other,Canada
216,YY,Roswell Park,USA,NY,Northeast
217,Z2,IDI-IRCCS,Italy,Other,Europe
218,Z5,Cureline,USA,CA,West
219,Z7,John Wayne Cancer Center,USA,CA,West
220,DK,Memorial Sloan Kettering Cancer Center,USA,NY,Northeast
221,FD,BLN – University of Chicago,USA,IL,Midwest
222,UY,University of California San Francisco,USA,CA,West
223,4Z,Barretos Cancer Hospital,Brazil,Other,Other
224,XF,University of Southern California,USA,CA,West
225,YF,University of Puerto Rico ,USA,PR,South
226,G2,MD Anderson,USA,TX,South
227,ZF,University of Sheffield,UK,Other,Europe
228,HQ,Ontario Institute for Cancer Research,Canada,Other,Canada
229,H4,Medical College of Georgia,USA,GA,South
230,GV,BLN - Cleveland Clinic,USA,OH,Midwest
231,E7,Asterand,USA,MI,Midwest
232,PQ,University of Colorado Denver,USA,CO,West
233,C4,Indivumed,Germany,Other,Europe
234,GU,UT Southwestern Medical Center at Dallas,USA,TX,South
235,CU,UNC,USA,NC,South
236,BT,University of Pittsburgh,USA,PA,Northeast
237,CF,ILSBio,Canada,Other,Canada
238,BL,Christiana Healthcare,USA,DE,South
239,E5,Roswell Park,USA,NY,Northeast
240,GC,International Genomics Consortium,USA,AZ,West
241,K4,ABS - Lahey Clinic,USA,MA,Northeast
242,2F,Erasmus MC,Netherlands,Other,Europe
243,GD,ABS - IUPUI,USA,IN,Midwest
244,LC,Hartford,USA,CT,Northeast
245,SY,University Hospital Motol,Czech Republic,Other,Europe
246,5N,University Hospital Erlangen,Germany,Other,Europe
247,KQ,Cornell Medical College,USA,NY,Northeast
248,R3,CHI-Penrose Colorado,USA,CO,West
249,FJ,BLN - Baylor,USA,TX,South
250,S5,University of Oklahoma HSC,USA,OK,South
251,FT,BLN – University of Miami,USA,FL,South
252,YC,Spectrum Health,USA,MI,Midwest
253,LT,Gundersen Lutheran Health System,USA,WI,Midwest
254,MV,University of Minnesota,USA,MN,Midwest
255,6A,University of Kansas,USA,KS,Midwest
256,79,Ontario Institute for Cancer Research,Canada,Other,Canada
257,V7,Medical College of Georgia,USA,GA,South
258,RU,Northwestern University,USA,IL,Midwest
259,J9,Melbourne Health,Australia,Other,Other
260,YJ,Stanford University,USA,CA,West
261,ZG,University Medical Center Hamburg-Eppendorf,Germany,Other,Europe
262,KC,Cornell Medical College,USA,NY,Northeast
263,VN,NCI Urologic Oncology Branch,USA,MD,South
264,YH,Stanford University,USA,CA,West
